Date,Home Team,Score,Away Team
30-09-2023,Newcastle,2 - 0,Burnley
21-10-2023,Newcastle,4 - 0,Crystal Palace
04-11-2023,Newcastle,1 - 0,Arsenal
25-11-2023,Newcastle,4 - 1,Chelsea
02-12-2023,Newcastle,1 - 0,Man United
16-12-2023,Newcastle,3 - 0,Fulham
26-12-2023,Newcastle,1 - 3,Nott'm Forest
13-01-2024,Newcastle,2 - 3,Man City
03-02-2024,Newcastle,4 - 4,Luton
17-02-2024,Newcastle,2 - 2,Bournemouth
02-03-2024,Newcastle,3 - 0,Wolves
30-03-2024,Newcastle,4 - 3,West Ham
02-04-2024,Newcastle,1 - 1,Everton
13-04-2024,Newcastle,? - ?,Tottenham
19-08-2023,Man City,1 - 0,Newcastle
02-09-2023,Brighton,3 - 1,Newcastle
24-09-2023,Sheffield United,0 - 8,Newcastle
08-10-2023,West Ham,2 - 2,Newcastle
28-10-2023,Wolves,2 - 2,Newcastle
11-11-2023,Bournemouth,2 - 0,Newcastle
07-12-2023,Everton,3 - 0,Newcastle
10-12-2023,Tottenham,4 - 1,Newcastle
23-12-2023,Luton,1 - 0,Newcastle
01-01-2024,Liverpool,4 - 2,Newcastle
30-01-2024,Aston Villa,1 - 3,Newcastle
10-02-2024,Nott'm Forest,2 - 3,Newcastle
24-02-2024,Arsenal,4 - 1,Newcastle
11-03-2024,Chelsea,3 - 2,Newcastle
06-04-2024,Fulham,0 - 1,Newcastle
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
18-09-2023,Nott'm Forest,1 - 1,Burnley
01-10-2023,Nott'm Forest,1 - 1,Brentford
21-10-2023,Nott'm Forest,2 - 2,Luton
05-11-2023,Nott'm Forest,2 - 0,Aston Villa
25-11-2023,Nott'm Forest,2 - 3,Brighton
02-12-2023,Nott'm Forest,0 - 1,Everton
15-12-2023,Nott'm Forest,0 - 2,Tottenham
23-12-2023,Nott'm Forest,2 - 3,Bournemouth
30-12-2023,Nott'm Forest,2 - 1,Man United
30-01-2024,Nott'm Forest,1 - 2,Arsenal
10-02-2024,Nott'm Forest,2 - 3,Newcastle
17-02-2024,Nott'm Forest,2 - 0,West Ham
02-03-2024,Nott'm Forest,0 - 1,Liverpool
30-03-2024,Nott'm Forest,1 - 1,Crystal Palace
02-04-2024,Nott'm Forest,3 - 1,Fulham
13-04-2024,Nott'm Forest,? - ?,Wolves
12-08-2023,Arsenal,2 - 1,Nott'm Forest
26-08-2023,Man United,3 - 2,Nott'm Forest
02-09-2023,Chelsea,0 - 1,Nott'm Forest
23-09-2023,Man City,2 - 0,Nott'm Forest
07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
29-10-2023,Liverpool,3 - 0,Nott'm Forest
12-11-2023,West Ham,3 - 2,Nott'm Forest
06-12-2023,Fulham,5 - 0,Nott'm Forest
09-12-2023,Wolves,1 - 1,Nott'm Forest
26-12-2023,Newcastle,1 - 3,Nott'm Forest
20-01-2024,Brentford,3 - 2,Nott'm Forest
04-02-2024,Bournemouth,1 - 1,Nott'm Forest
24-02-2024,Aston Villa,4 - 2,Nott'm Forest
10-03-2024,Brighton,1 - 0,Nott'm Forest
16-03-2024,Luton,1 - 1,Nott'm Forest
07-04-2024,Tottenham,3 - 1,Nott'm Forest
12-08-2023,Sheffield United,0 - 1,Crystal Palace
27-08-2023,Sheffield United,1 - 2,Man City
02-09-2023,Sheffield United,2 - 2,Everton
24-09-2023,Sheffield United,0 - 8,Newcastle
21-10-2023,Sheffield United,1 - 2,Man United
04-11-2023,Sheffield United,2 - 1,Wolves
25-11-2023,Sheffield United,1 - 3,Bournemouth
06-12-2023,Sheffield United,0 - 2,Liverpool
09-12-2023,Sheffield United,1 - 0,Brentford
26-12-2023,Sheffield United,2 - 3,Luton
21-01-2024,Sheffield United,2 - 2,West Ham
03-02-2024,Sheffield United,0 - 5,Aston Villa
18-02-2024,Sheffield United,0 - 5,Brighton
04-03-2024,Sheffield United,0 - 6,Arsenal
30-03-2024,Sheffield United,3 - 3,Fulham
07-04-2024,Sheffield United,2 - 2,Chelsea
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
16-09-2023,Tottenham,2 - 1,Sheffield United
30-09-2023,West Ham,2 - 0,Sheffield United
07-10-2023,Fulham,3 - 1,Sheffield United
28-10-2023,Arsenal,5 - 0,Sheffield United
12-11-2023,Brighton,1 - 1,Sheffield United
02-12-2023,Burnley,5 - 0,Sheffield United
16-12-2023,Chelsea,2 - 0,Sheffield United
22-12-2023,Aston Villa,1 - 1,Sheffield United
30-12-2023,Man City,2 - 0,Sheffield United
30-01-2024,Crystal Palace,3 - 2,Sheffield United
10-02-2024,Luton,1 - 3,Sheffield United
25-02-2024,Wolves,1 - 0,Sheffield United
09-03-2024,Bournemouth,2 - 2,Sheffield United
04-04-2024,Liverpool,3 - 1,Sheffield United
13-04-2024,Brentford,? - ?,Sheffield United
19-08-2023,Tottenham,2 - 0,Man United
16-09-2023,Tottenham,2 - 1,Sheffield United
30-09-2023,Tottenham,2 - 1,Liverpool
23-10-2023,Tottenham,2 - 0,Fulham
06-11-2023,Tottenham,1 - 4,Chelsea
26-11-2023,Tottenham,1 - 2,Aston Villa
07-12-2023,Tottenham,1 - 2,West Ham
10-12-2023,Tottenham,4 - 1,Newcastle
23-12-2023,Tottenham,2 - 1,Everton
31-12-2023,Tottenham,3 - 1,Bournemouth
31-01-2024,Tottenham,3 - 2,Brentford
10-02-2024,Tottenham,2 - 1,Brighton
17-02-2024,Tottenham,1 - 2,Wolves
02-03-2024,Tottenham,3 - 1,Crystal Palace
30-03-2024,Tottenham,2 - 1,Luton
07-04-2024,Tottenham,3 - 1,Nott'm Forest
13-08-2023,Brentford,2 - 2,Tottenham
26-08-2023,Bournemouth,0 - 2,Tottenham
02-09-2023,Burnley,2 - 5,Tottenham
24-09-2023,Arsenal,2 - 2,Tottenham
07-10-2023,Luton,0 - 1,Tottenham
